"","Year","HEAD_ID","HSHD_MBR_TOTAL_CNT","NUM_BEDRM_CNT","TOTAL_DPNDNT_CNT","TOTAL_ANNL_INCM_AMNT","ADLT_AGE_18_21_CNT","ADLT_AGE_22_25_CNT","ADLT_AGE_26_35_CNT","ADLT_AGE_36_49_CNT","ADLT_AGE_50_61_CNT","ADLT_AGE_62_85_CNT","ADLT_AGE_ABOVE85_CNT","DSBLD_CHLDRN_CNT","HEAD_AGE_YR_CNT","CHLDRN_AGE_0_3_CNT","CHLDRN_AGE_4_5_CNT","CHLDRN_AGE_6_12_CNT","CHLDRN_AGE_13_17_CNT","CHLDRN_MBR_CNT","HEAD_GNDR_CD","HEAD_ELDLY_INDR","HEAD_DSBLTY_INDR","HEAD_RACE_CD","HEAD_ETHNCY_CD","H6_CD","CHLDRN_MBR_INDR","CNTRL_CITY_CD","GROSS_RENT_AMNT","ASSTN_PYMNT_AMNT","TOTAL_FMLY_CRBTN_AMNT","PVRTY_PRCNT","MNRTY_PRCNT","BLACK_PRCNT","HISPANIC_PRCNT","WHITE_PRCNT","pgm_type_edited","total_annl_incm_amnt_rounded","gross_rent_amnt_rounded","asstn_pymnt_amnt_rounded","total_fmly_crbtn_amnt_rounded"
"13",2009,13564,3,3,2,12025,0,0,1,0,0,0,0,0,33,0,1,1,0,2,"F",0,0,"White",2,6,1,1,"1401","1167","234",9.517,4.416,0.459,0.86,95.584,"HCVP",12000,"1400","1150","250"
"14",2009,13620,2,2,1,13848,0,0,0,1,0,0,0,0,38,0,0,0,1,1,"F",0,1,"White",2,5,1,1,"1271","946","325",4.939,4.41,1.455,0.15,95.59,"HCVP",13800,"1250","950","350"
"15",2009,15807,3,3,2,6276,1,0,0,0,0,0,0,0,19,2,0,0,0,2,"F",0,0,"More than 1",2,6,1,1,".",".","293",9.517,4.416,0.459,0.86,95.584,"Public Housing",6300,".",".","300"
"16",2009,23005,1,1,0,16780,0,0,0,0,0,1,0,0,78,0,0,0,0,0,"F",1,0,"White",2,1,0,2,".",".","333",8.181,4.225,0,1.642,95.775,"Public Housing",16800,".",".","350"
"17",2009,23022,1,0,0,12937,0,0,0,0,0,1,0,0,78,0,0,0,0,0,"M",1,0,"White",2,1,0,0,".",".","314",12.123,3.276,0.532,0,96.724,"Public Housing",12900,".",".","300"
"18",2009,25372,1,1,0,8532,0,0,0,0,1,0,0,0,61,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"693","490","203",6.22,4.641,0.955,1.106,95.359,"HCVP",8500,"700","500","200"
"19",2009,25738,1,1,0,8736,0,0,0,0,1,0,0,0,56,0,0,0,0,0,"F",0,0,"White",2,3,0,2,"772","554","218",5.584,2.697,0,0.514,97.303,"HCVP",8700,"750","550","200"
"20",2009,25752,1,1,0,16172,0,0,0,0,1,0,0,0,53,0,0,0,0,0,"F",0,1,"White",2,2,0,1,"745","351","394",9.458,2.865,0.779,0.417,97.135,"HCVP",16200,"750","350","400"
"21",2009,25950,1,0,0,13757,0,0,0,0,1,0,0,0,56,0,0,0,0,0,"M",0,1,"White",2,2,0,0,".",".","315",12.185,9.487,1.567,5.657,90.513,"Public Housing",13800,".",".","300"
"22",2009,26950,1,1,0,15483,0,0,0,1,0,0,0,0,48,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"675","298","377",5.609,3.566,0,1.361,96.434,"HCVP",15500,"700","300","400"
"23",2009,27340,2,3,0,11036,0,1,0,0,1,0,0,0,52,0,0,0,0,0,"F",0,0,"White",2,3,0,1,"1137","861","276",4.2,1.817,0,0.454,98.183,"HCVP",11000,"1150","850","300"
"24",2009,27861,2,2,1,11389,0,0,0,1,0,0,0,0,42,0,0,0,1,1,"F",0,0,"White",2,6,1,0,"1100","827","273",18.095,31.668,2.87,22.867,68.332,"HCVP",11400,"1100","850","250"
"25",2009,28472,4,3,2,15545,0,0,0,2,0,0,0,0,39,0,0,1,1,2,"F",0,1,"White",2,5,1,1,"1001","646","355",9.874,5.605,0.691,2.691,94.395,"HCVP",15500,"1000","650","350"
"26",2009,28612,1,1,0,8328,0,0,0,1,0,0,0,0,37,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"852","654","198",5.415,16.723,1.689,5.695,83.277,"HCVP",8300,"850","650","200"
"27",2009,29146,3,3,2,20964,0,0,0,1,0,0,0,0,37,0,0,2,0,2,"F",0,1,"Black",2,5,1,2,"865","375","490",12.552,4.182,0.22,0,95.818,"HCVP",21000,"850","400","500"
"28",2009,34352,1,1,0,21678,1,0,0,0,0,0,0,0,18,0,0,0,0,0,"M",0,0,"Black",1,3,0,1,"871","329","542",2.865,4.632,0.538,1.31,95.368,"HCVP",21700,"850","350","550"
"29",2009,41317,1,1,0,8333,0,0,0,0,0,1,0,0,79,0,0,0,0,0,"F",1,0,"White",2,1,0,2,".",".","198",11.209,2.233,0,0,97.767,"Public Housing",8300,".",".","200"
"30",2009,41589,1,1,0,11760,0,0,0,0,0,1,0,0,74,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"706","431","275",14.04,5.584,0,1.648,94.416,"HCVP",11800,"700","450","300"
"31",2009,41642,1,1,0,8305,0,0,0,0,0,1,0,0,77,0,0,0,0,0,"F",1,0,"White",2,1,0,1,".",".","175",2.386,4.644,0,2.965,95.356,"Public Housing",8300,".",".","200"
"32",2009,41898,1,1,0,17952,0,0,0,0,0,1,0,0,74,0,0,0,0,0,"F",1,0,"White",2,1,0,1,".",".","439",9.901,7.323,1.177,0.371,92.677,"Public Housing",18000,".",".","450"
"33",2009,42119,1,1,0,13397,0,0,0,0,0,1,0,0,74,0,0,0,0,0,"F",1,0,"White",2,1,0,2,".",".","293",11.176,8.183,0.909,2.606,91.817,"Public Housing",13400,".",".","300"
"34",2009,42138,1,2,0,8412,0,0,0,0,0,1,0,0,73,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"857","657","200",12.588,6.708,0.705,1.592,93.292,"HCVP",8400,"850","650","200"
"35",2009,42883,1,1,0,10440,0,0,0,0,0,1,0,0,65,0,0,0,0,0,"F",1,0,"White",2,1,0,1,"1392","1141","251",3.997,28.749,0.375,15.066,71.251,"HCVP",10400,"1400","1150","250"
"36",2009,44861,3,3,2,14940,1,0,0,1,0,0,0,0,49,0,0,0,1,1,"F",0,1,"White",2,5,1,0,".",".","340",18.736,16.029,4.235,6.838,83.971,"Public Housing",14900,".",".","350"
"37",2009,46336,2,2,1,4482,0,0,0,1,0,0,0,0,41,0,0,1,0,1,"F",0,0,"White",2,6,1,1,"1048","942","106",9.668,4.064,0.907,0.369,95.936,"HCVP",4500,"1050","950","100"
"38",2009,48499,4,2,2,20800,0,0,0,2,0,0,0,0,38,0,0,0,2,2,"M",0,0,"White",2,6,1,2,"736","240","496",11.417,4.431,0.274,1.814,95.569,"HCVP",20800,"750","250","500"
"39",2009,58233,1,1,0,15962,0,0,0,0,0,1,0,0,84,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"544","158","386",10.819,3.451,0,0.652,96.549,"HCVP",16000,"550","150","400"
"40",2009,58809,1,1,0,11976,0,0,0,0,0,1,0,0,81,0,0,0,0,0,"M",1,0,"White",2,1,0,0,".",".","290",46.748,64.939,10.467,35.823,35.061,"Public Housing",12000,".",".","300"
"41",2009,59412,1,1,0,14066,0,0,0,0,0,1,0,0,77,0,0,0,0,0,"F",1,0,"White",2,1,0,1,"750","423","327",11.048,3.037,0.655,0.294,96.963,"HCVP",14100,"750","400","350"
"42",2009,60723,2,2,1,16356,0,0,0,1,0,1,0,0,66,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"810","378","432",8.663,4.123,0,1.942,95.877,"HCVP",16400,"800","400","450"
"43",2009,61596,2,2,0,17148,0,0,0,1,1,0,0,0,56,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"800","381","419",22.242,10.284,3.239,0.219,89.716,"HCVP",17100,"800","400","400"
"44",2009,61888,1,1,0,7932,0,0,0,1,0,0,0,0,46,0,0,0,0,0,"M",0,1,"White",2,2,0,1,"720","532","188",4.042,2.572,0.205,0.716,97.428,"HCVP",7900,"700","550","200"
"45",2009,62540,2,2,1,16416,1,0,0,0,1,0,0,0,53,0,0,0,0,0,"F",0,1,"White",2,2,0,1,"959","570","389",9.668,4.064,0.907,0.369,95.936,"HCVP",16400,"950","550","400"
"46",2009,63066,1,2,0,9923,0,0,0,1,0,0,0,0,46,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"650","426","224",19.499,2.491,0.122,0,97.509,"HCVP",9900,"650","450","200"
"47",2009,63621,2,2,0,8448,1,0,0,1,0,0,0,0,43,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"779","506","273",11.715,3.716,0,0.462,96.284,"HCVP",8400,"800","500","250"
"48",2009,63703,4,4,1,14976,0,0,1,0,2,0,0,0,54,0,1,0,0,1,"F",0,0,"White",2,6,1,2,"1105","703","402",12.833,3.325,0.313,0,96.675,"HCVP",15000,"1100","700","400"
"49",2009,64689,4,2,2,19234,1,0,0,1,0,0,0,1,42,0,0,1,1,2,"F",0,1,"White",2,5,1,2,"1092","550","542",9.35,2.225,0.045,0.494,97.775,"HCVP",19200,"1100","550","550"
"50",2009,65071,1,1,0,8208,0,0,0,1,0,0,0,0,46,0,0,0,0,0,"F",0,1,"White",2,2,0,0,"812","612","200",16.935,7.59,2.543,2.465,92.41,"HCVP",8200,"800","600","200"
"51",2009,67398,2,2,1,7020,0,0,1,0,0,0,0,0,27,1,0,0,0,1,"F",0,0,"White",2,6,1,1,"1100","877","223",2.786,5.297,0.941,1.458,94.703,"HCVP",7000,"1100","900","200"
"52",2009,67616,3,3,1,0,0,1,1,0,0,0,0,0,27,0,0,1,0,1,"F",0,0,"White",2,6,1,2,"1065","1065","0",17.702,5.245,0.961,1.433,94.755,"HCVP",0,"1050","1050","0"
"53",2009,78734,1,1,0,14257,0,0,0,0,0,1,0,0,71,0,0,0,0,0,"M",1,0,"White",2,1,0,2,"625","210","415",9.333,1.685,0,0.128,98.315,"HCVP",14300,"650","200","400"
"54",2009,80120,3,2,1,21000,0,0,0,1,0,2,0,0,62,0,0,0,0,0,"F",1,0,"White",2,1,0,0,".",".","503",12.854,11.651,2.359,0.892,88.349,"Public Housing",21000,".",".","500"
"55",2009,80805,1,2,0,8448,0,0,0,0,1,0,0,0,53,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"776","336","440",13.572,2.591,0,0.296,97.409,"HCVP",8400,"800","350","450"
"56",2009,81134,1,1,0,8616,0,0,0,1,0,0,0,0,40,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"550","344","206",10.076,18.88,6.184,2.91,81.12,"HCVP",8600,"550","350","200"
"57",2009,81343,1,2,0,10933,0,0,0,1,0,0,0,0,41,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"675","412","263",9.344,4.275,0.27,1.8,95.725,"HCVP",10900,"700","400","250"
"58",2009,82865,1,1,0,11860,0,0,0,0,1,0,0,0,54,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"440","153","287",21.299,2.477,0.064,0.762,97.523,"HCVP",11900,"450","150","300"
"59",2009,83745,1,1,0,8328,0,0,0,0,1,0,0,0,51,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"550","324","226",12.326,0.851,0,0.603,99.149,"HCVP",8300,"550","300","250"
"60",2009,85462,1,1,0,8448,0,0,0,0,0,1,0,0,74,0,0,0,0,0,"F",1,0,"White",2,1,0,1,"686","571","115",3.736,23.424,2.282,15.16,76.576,"HCVP",8400,"700","550","100"
"61",2009,87135,3,2,2,7686,0,0,1,0,0,0,0,0,32,1,0,1,0,2,"F",0,0,"White",2,6,1,2,"679","511","168",16.252,4.06,0.146,1.507,95.94,"HCVP",7700,"700","500","150"
"62",2009,88617,2,2,1,22044,0,0,1,0,0,0,0,0,34,0,0,1,0,1,"F",0,0,"White",2,6,1,0,"1042","535","507",8.956,8.851,1.642,0.641,91.149,"HCVP",22000,"1050","550","500"
"63",2009,88831,4,2,2,17680,0,0,2,0,0,0,0,0,27,0,1,1,0,2,"F",0,0,"White",2,6,1,1,"843","289","554",10.201,3.287,0,1.238,96.713,"HCVP",17700,"850","300","550"
"64",2009,92131,3,2,2,7220,0,0,1,0,0,0,0,0,27,1,1,0,0,2,"F",0,0,"Black",2,6,1,0,"772","615","157",11.68,4.544,1.197,0,95.456,"HCVP",7200,"750","600","150"
"65",2009,98100,1,2,0,8856,0,0,0,0,0,1,0,0,63,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"829","563","266",8.403,3.452,0,2.49,96.548,"HCVP",8900,"850","550","250"
"66",2009,98716,1,1,0,18154,0,0,0,0,0,1,0,0,73,0,0,0,0,0,"F",1,0,"White",2,1,0,1,".",".","413",16.474,24.271,5.202,15.404,75.729,"Public Housing",18200,".",".","400"
"67",2009,99546,2,1,0,16128,0,1,0,1,0,0,0,0,41,0,0,0,0,0,"F",0,1,"White",2,2,0,0,"588","143","445",17.258,3.662,0.39,1.286,96.338,"HCVP",16100,"600","150","450"
"68",2009,101189,1,1,0,9834,0,0,0,0,1,0,0,0,53,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"807","568","239",27.471,13.372,4.615,3.234,86.628,"HCVP",9800,"800","550","250"
"69",2009,101247,3,3,2,14281,0,0,0,1,0,0,0,0,38,0,0,0,2,2,"F",0,0,"White",2,6,1,2,".",".","333",17.81,3.381,0.09,0.834,96.619,"Public Housing",14300,".",".","350"
"70",2009,102128,1,1,0,8892,0,0,0,1,0,0,0,0,40,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"606","324","282",39.233,8.256,0.462,3.58,91.744,"HCVP",8900,"600","300","300"
"71",2009,102740,1,2,0,7000,0,0,0,1,0,0,0,0,38,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"525","360","165",28.065,4.424,0.492,0,95.576,"HCVP",7000,"550","350","150"
"72",2009,102780,2,3,1,7764,0,0,0,0,1,0,0,0,50,0,0,0,1,1,"F",0,1,"White",2,5,1,0,"752","535","217",24.324,6.715,1.107,1.251,93.285,"HCVP",7800,"750","550","200"
"73",2009,102786,5,3,4,9808,0,0,1,0,0,0,0,0,34,1,0,1,2,4,"F",0,0,"White",2,6,1,2,"915","718","197",9.344,2.72,0.382,1.236,97.28,"HCVP",9800,"900","700","200"
"74",2009,102864,1,1,0,8208,0,0,1,0,0,0,0,0,34,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"638","341","297",17.258,3.662,0.39,1.286,96.338,"HCVP",8200,"650","350","300"
"75",2009,104541,4,3,3,7332,0,0,1,0,0,0,0,0,28,1,0,2,0,3,"F",0,0,"White",2,6,1,2,"967","772","195",12.701,1.453,0,0.39,98.547,"HCVP",7300,"950","750","200"
"76",2009,104792,6,3,4,18502,0,0,2,0,0,0,0,0,28,0,1,2,1,4,"F",0,0,"White",2,6,1,1,"1090","660","430",10.069,8.857,0.176,3.922,91.143,"HCVP",18500,"1100","650","450"
"77",2009,104963,4,3,3,19708,0,0,1,0,0,0,0,0,28,1,1,1,0,3,"F",0,0,"White",2,6,1,1,"1285","828","457",2.753,2.808,0.437,0.875,97.192,"HCVP",19700,"1300","850","450"
"78",2009,105185,3,3,2,9464,0,0,1,0,0,0,0,0,30,0,0,2,0,2,"F",0,0,"White",2,6,1,2,"675","462","213",9.333,1.685,0,0.128,98.315,"HCVP",9500,"700","450","200"
"79",2009,105639,2,2,1,21931,0,0,1,0,0,0,0,0,26,0,1,0,0,1,"F",0,0,"White",2,6,1,2,"696","264","432",12.056,2.483,0.096,0.764,97.517,"HCVP",21900,"700","250","450"
"80",2009,105763,2,2,1,12069,0,1,0,0,0,0,0,0,25,1,0,0,0,1,"F",0,0,"White",2,6,1,0,"778","361","417",5.086,4.6,0.695,1.985,95.4,"HCVP",12100,"800","350","400"
"81",2009,105765,2,2,1,21644,0,1,0,0,0,0,0,0,25,0,1,0,0,1,"F",0,0,"White",2,6,1,2,"1038","736","302",17.291,4.214,0.732,1.902,95.786,"HCVP",21600,"1050","750","300"
"82",2009,106677,1,0,0,7785,0,1,0,0,0,0,0,0,22,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"423","238","185",21.299,6.203,0.723,1.475,93.797,"HCVP",7800,"400","250","200"
"83",2009,107752,2,2,1,36444,1,0,0,1,0,0,0,0,47,0,0,0,0,0,"F",0,0,"Black",2,3,0,0,".",".","575",28.955,7.884,0.807,1.261,92.116,"Public Housing",36400,".",".","600"
"84",2009,109217,1,1,0,8460,0,0,0,0,0,1,0,0,71,0,0,0,0,0,"F",1,0,"Asian",2,1,0,0,".",".","202",14.193,10.783,1.34,0,89.217,"Public Housing",8500,".",".","200"
"85",2009,110344,3,4,1,7192,1,0,0,0,2,0,0,0,57,0,0,0,0,0,"F",0,1,"Asian",2,2,0,0,".",".","158",35.174,28.135,3.101,5.213,71.865,"Public Housing",7200,".",".","150"
"86",2009,113272,1,1,0,8439,0,0,0,0,0,0,1,0,92,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"555","400","155",22.553,2.119,0.081,0.243,97.881,"HCVP",8400,"550","400","150"
"87",2009,114938,1,2,0,8448,0,0,0,0,0,1,0,0,82,0,0,0,0,0,"F",1,0,"White",2,1,0,0,"702","501","201",5.448,2.782,0.934,0.183,97.218,"HCVP",8400,"700","500","200"
"88",2009,115320,1,2,0,11436,0,0,0,0,0,1,0,0,75,0,0,0,0,0,"M",1,0,"White",2,1,0,0,"1042","766","276",8.956,8.851,1.642,0.641,91.149,"HCVP",11400,"1050","750","300"
"89",2009,115352,1,2,0,8196,0,0,0,0,0,1,0,0,79,0,0,0,0,0,"F",1,0,"White",2,1,0,0,"545","366","179",10.149,3.791,0.313,0.332,96.209,"HCVP",8200,"550","350","200"
"90",2009,117554,1,1,0,8208,0,0,0,0,0,1,0,0,63,0,0,0,0,0,"F",1,0,"White",2,1,0,2,"530","335","195",10.819,3.451,0,0.652,96.549,"HCVP",8200,"550","350","200"
"91",2009,118184,1,2,0,8209,0,0,0,0,1,0,0,0,58,0,0,0,0,0,"F",0,1,"White",2,2,0,0,"610","395","215",19.385,5.461,0.91,0.569,94.539,"HCVP",8200,"600","400","200"
"92",2009,118482,1,1,0,10093,0,0,0,0,1,0,0,0,59,0,0,0,0,0,"F",0,1,"White",2,2,0,0,"800","558","242",39.05,15.368,6.48,2.266,84.632,"HCVP",10100,"800","550","250"
"93",2009,118600,1,1,0,8208,0,0,0,0,1,0,0,0,56,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"660","466","194",15.316,3.463,0.554,1.697,96.537,"HCVP",8200,"650","450","200"
"94",2009,118889,1,2,0,8448,0,0,0,1,0,0,0,0,47,0,0,0,0,0,"M",0,1,"White",2,2,0,2,".",".","201",8.945,2.116,0.29,0.124,97.884,"Public Housing",8400,".",".","200"
"95",2009,118977,1,1,0,8184,0,0,0,1,0,0,0,0,47,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"720","525","195",16.935,7.59,2.543,2.465,92.41,"HCVP",8200,"700","550","200"
"96",2009,119928,1,1,0,8448,0,0,0,0,1,0,0,0,52,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"550","331","219",28.065,4.424,0.492,0,95.576,"HCVP",8400,"550","350","200"
"97",2009,120420,1,1,0,8880,0,0,0,1,0,0,0,0,38,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"600","324","276",12.123,3.276,0.532,0,96.724,"HCVP",8900,"600","300","300"
"98",2009,121010,2,2,0,17377,1,0,0,1,0,0,0,0,44,0,0,0,0,0,"F",0,1,"White",2,2,0,0,"1036","611","425",22.242,10.284,3.239,0.219,89.716,"HCVP",17400,"1050","600","450"
"99",2009,121332,1,1,0,8208,0,0,0,1,0,0,0,0,49,0,0,0,0,0,"F",0,1,"White",2,2,0,0,".",".","195",16.023,4.051,0,0,95.949,"Public Housing",8200,".",".","200"
"100",2009,121889,3,4,2,18072,0,0,0,2,0,0,0,0,43,0,0,0,1,1,"F",0,1,"White",2,5,1,2,"660","213","447",17.81,3.381,0.09,0.834,96.619,"HCVP",18100,"650","200","450"
"101",2009,122025,2,2,1,17343,0,0,0,1,0,0,0,0,41,0,0,1,0,1,"F",0,0,"Black",2,6,1,0,"951","529","422",4.985,4.058,0.91,0.437,95.942,"HCVP",17300,"950","550","400"
"102",2009,122780,5,3,4,8796,0,0,1,0,0,0,0,0,31,1,1,2,0,4,"F",0,0,"White",2,6,1,0,".",".","172",28.955,7.884,0.807,1.261,92.116,"Public Housing",8800,".",".","150"
"103",2009,125895,1,1,0,8448,0,1,0,0,0,0,0,0,23,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"557","335","222",39.233,8.256,0.462,3.58,91.744,"HCVP",8400,"550","350","200"
"104",2009,126681,2,2,1,11859,0,1,0,0,0,0,0,0,22,1,0,0,0,1,"F",0,0,"White",2,6,1,0,"914","630","284",32.992,26.715,4.176,13.164,73.285,"HCVP",11900,"900","650","300"
"105",2009,136269,1,1,0,8712,0,0,0,0,1,0,0,0,61,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"700","439","261",5.832,0.983,0,0,99.017,"HCVP",8700,"700","450","250"
"106",2009,136840,3,2,0,15552,0,0,1,0,2,0,0,0,61,0,0,0,0,0,"F",0,1,"White",2,2,0,1,"912","504","408",5.754,3.769,0.727,0.474,96.231,"HCVP",15600,"900","500","400"
"107",2009,137711,3,2,1,17424,0,1,0,1,1,0,0,0,54,0,0,0,0,0,"M",0,1,"White",2,2,0,2,"1012","381","631",10.988,5.746,0.23,0.077,94.254,"HCVP",17400,"1000","400","650"
"108",2009,137811,1,2,0,7608,0,0,0,0,1,0,0,0,52,0,0,0,0,0,"F",0,1,"White",2,2,0,2,"815","509","306",16.99,7.953,1.934,2.298,92.047,"HCVP",7600,"800","500","300"
"109",2009,137854,2,2,1,8988,0,0,0,1,0,0,0,0,42,0,0,0,1,1,"F",0,0,"Black",2,6,1,2,"612","399","213",11.743,13.623,11.387,0.982,86.377,"HCVP",9000,"600","400","200"
"110",2009,138655,1,0,0,2956,0,0,0,1,0,0,0,0,44,0,0,0,0,0,"F",0,0,"White",2,3,0,2,"635","437","198",8.928,1.124,0,0,98.876,"HCVP",3000,"650","450","200"
"111",2009,138682,2,2,1,30214,0,0,0,1,0,1,0,0,46,0,0,0,0,0,"F",0,0,"White",2,3,0,1,"1041","298","743",5.754,3.769,0.727,0.474,96.231,"HCVP",30200,"1050","300","750"
"112",2009,139038,1,1,0,9516,0,0,0,0,1,0,0,0,51,0,0,0,0,0,"F",0,0,"White",2,3,0,2,"768","451","317",5.467,3.425,0,1.167,96.575,"HCVP",9500,"750","450","300"
"113",2009,139957,1,0,0,8952,0,0,0,0,1,0,0,0,50,0,0,0,0,0,"M",0,1,"White",2,2,0,0,"513","299","214",40.195,7.98,0.813,1.83,92.02,"HCVP",9000,"500","300","200"
"114",2009,144878,1,3,0,9368,0,1,0,0,0,0,0,0,25,0,0,0,0,0,"M",0,1,"White",2,2,0,1,"1145","884","261",7.043,5.675,0.607,1.542,94.325,"HCVP",9400,"1150","900","250"
"115",2009,149227,2,1,0,31251,0,0,0,0,0,2,0,0,85,0,0,0,0,0,"M",1,0,"White",2,1,0,2,".",".","674",6.779,3.083,0.183,1.855,96.917,"Public Housing",31300,".",".","650"
"116",2009,149939,1,1,0,16565,0,0,0,0,0,1,0,0,81,0,0,0,0,0,"F",1,0,"White",2,1,0,2,".",".","273",18.538,10.677,4.194,1.205,89.323,"Public Housing",16600,".",".","250"
"117",2009,150482,1,1,0,10200,0,0,0,0,0,0,1,0,86,0,0,0,0,0,"F",1,0,"White",2,1,0,2,".",".","245",13.484,5.302,0.237,1.509,94.698,"Public Housing",10200,".",".","250"
"118",2009,152337,1,1,0,8952,0,0,0,0,0,1,0,0,67,0,0,0,0,0,"F",1,0,"White",2,1,0,0,"759","545","214",40.195,7.98,0.813,1.83,92.02,"HCVP",9000,"750","550","200"
